Company Name,Aliases,Website,LinkedIn,Employees,Industry,City,State,Country,Region,Founded Year,Visa Sponsor,Number of Jobs,Description
Oxera Consulting,"Oxera Consulting LLP, Oxera Consulting",http://www.oxera.com,http://www.linkedin.com/company/oxera,370,management consulting,,England,United Kingdom,,1982,Yes,1,"Oxera Consulting LLP is an international economics and finance consultancy founded in 1982, with its main office in Oxford, UK, and branches in major European cities such as Brussels, Amsterdam, Berlin, Paris, Milan, and Rome. The firm specializes in providing expert advice on complex economic issues related to competition, regulation, finance, and public policy. Its diverse clientele includes policymakers, regulators, companies, and law firms.

Oxera offers a wide range of consultancy services, including competition economics, regulatory impact analysis, economic advice for litigation, policy formulation, and financial modeling. The firm is known for its analytical excellence and commitment to transparency, playing a significant role in shaping regulation and policy within the European Union. Oxera also produces detailed economic reports, proprietary economic models, and training programs, contributing to informed economic policy discussions. Its reputation for credibility makes it a trusted advisor to key decision-makers in both the public and private sectors."
Purcell Architecture,"Purcell Architecture LTD, Purcell Architecture",http://www.purcellarchitecture.com,http://www.linkedin.com/company/purcell,370,architecture & planning,London,England,United Kingdom,,1947,Yes,1,"Purcell is a prominent architectural practice founded in 1947, specializing in architecture, masterplanning, and heritage consultancy. With over 280 architects and heritage experts across 14 studios worldwide, including locations in the UK, Australia, and Hong Kong, Purcell focuses on protecting and enhancing significant historic buildings and places. The firm is recognized for its conservation-led approach, promoting adaptive reuse of existing structures to support sustainability and create vibrant community spaces.

As the world's largest architectural practice dedicated to the existing built environment, Purcell has been ranked No. 1 for heritage architecture in the World Architecture 100 for 2022 and 2023. The firm emphasizes a collaborative, employee-owned model that fosters personal development and social responsibility. Its services include architecture that integrates conservation with design, sustainable masterplanning, and expert heritage consultancy. Purcell's portfolio features a variety of projects, from the restoration of listed buildings to contemporary interventions that respect historical contexts while introducing modern functionality."
Royal Agricultural University,Royal Agricultural University,http://www.rau.ac.uk,http://www.linkedin.com/school/the-royal-agricultural-university,370,higher education,Cirencester,England,United Kingdom,,1845,Yes,1,"The Royal Agricultural University (RAU), located in Cirencester, Gloucestershire, England, is the oldest agricultural college in the English-speaking world, founded in 1845. It became a university in 2013 and has a rich heritage, supported by royal patronage since its inception. RAU focuses on agriculture, land management, and related rural disciplines, serving approximately 1,200 undergraduate students. The university also has campuses in Swindon and international locations, including China and Uzbekistan.

RAU offers a variety of undergraduate and postgraduate programs in agricultural sciences, rural land management, equine science, food business management, and environmental conservation. It is known for its pioneering role in agricultural education and provides professional development courses, research opportunities, and consultancy services. The university maintains strong connections with the agricultural sector, contributing to farming practices and education through research and knowledge transfer. RAU serves prospective students and the agricultural industry, positioning itself as a key institution for those pursuing careers in these fields."
S-RM Intelligence and Risk Consulting,S-RM Intelligence and Risk Consulting,http://www.s-rminform.com,http://www.linkedin.com/company/s-rm,370,security & investigations,London,England,United Kingdom,,2005,Yes,14,"S-RM is a global corporate intelligence and cybersecurity consultancy founded in 2005 and based in London. With around 250 employees across six international offices, the company specializes in intelligence, resilience, and response services. These services help clients manage complex risks, navigate competition, and address cyber, regulatory, and reputational threats.

The firm serves a diverse range of clients, including sovereign entities, multinational corporations, global law firms, ultra-high-net-worth individuals, private equity firms, and major investment banks. S-RM's core offerings include actionable intelligence for decision-making, enhancing organizational resilience against various risks, and rapid response to cyberattacks and crises. They also have specialized practices in disputes and investigations, deal advisory, strategic intelligence, and cybersecurity. S-RM utilizes proprietary AI-driven platforms to provide clients with real-time insights and strategic security analysis, ensuring tailored and effective solutions."
Sensor Tower UK,"Sensor Tower UK LTD, Sensor Tower UK, Sensor Tower",http://www.sensortower.com,http://www.linkedin.com/company/sensor-tower,370,information technology & services,London,England,United Kingdom,,2013,Yes,3,"Sensor Tower is a global leader in mobile app and digital market intelligence, founded in 2013. The company offers a range of solutions, including App Intelligence, Store Intelligence, Ad Intelligence, and Usage Intelligence, which provide insights into app performance, marketplace trends, advertising strategies, and user engagement. With data on over 16 million apps, Sensor Tower helps marketers, app developers, and financial institutions understand user interactions and optimize their app growth strategies.

The company serves a diverse clientele, including Fortune 500 companies and game developers, with a presence in North America, Europe, the Middle East, Africa, APAC, and LATAM. Sensor Tower has regional offices in major cities like San Francisco, London, and Tokyo. Additionally, it produces detailed industry reports, such as the State of AI Apps Report, offering valuable market trends and insights for the mobile and digital advertising sectors."
Stowe Family Law,"Stowe Family Law LLP, Stowe Family Law",http://www.stowefamilylaw.co.uk,http://www.linkedin.com/company/stowe-family-law,370,law practice,Leeds,England,United Kingdom,,1982,Yes,28,"Stowe Family Law LLP is the UK's largest specialist family law firm, established in 1982 and based in Leeds. With around 90 offices across major cities and market towns, the firm employs over 170 family lawyers who collectively bring more than 800 years of experience. Their team includes forensic accountants, adoption specialists, surrogacy law experts, and trained mediators.

The firm offers a wide range of services, including divorce and separation, financial settlements, child law, mediation, nuptial agreements, adoption law, surrogacy law, and international family law. Stowe Family Law is known for its technology-enabled approach to client acquisition, serving approximately 5,000 mass-affluent clients each year with a focus on care and empathy during family breakdowns. 

Founded by Marilyn Stowe, the firm has expanded significantly since its inception, transitioning to private equity ownership in 2017 and later to Investcorp in 2024, which has supported its growth and national coverage."
The Thomas Coram Foundation for Children,The Thomas Coram Foundation for Children,http://www.coram.org.uk,http://www.linkedin.com/company/coram,370,nonprofit organization management,London,England,United Kingdom,,1739,Yes,8,"Coram is the UK's oldest dedicated children's charity, founded in 1739 as the Foundling Hospital by Thomas Coram. Over nearly 300 years, it has evolved into a comprehensive organization that supports children, young people, and families across the UK.

Coram offers a range of services, including adoption services to facilitate placements for children in need of families. It provides educational programs through Coram Life Education, delivering wellbeing and drug prevention education in over 2,000 schools. The organization also promotes children's rights through the Coram Children’s Legal Centre and influences adoption and fostering policy via CoramBAAF. Additionally, Coram preserves its rich heritage through projects that digitize historic archives and share its story with the public.

Coram is funded through school fees, donations, corporate support, and grants. Its mission is to improve the life chances of vulnerable children and families, making a significant impact in the community."
VVB Engineering,"VVB Engineering (UK) Limited, VVB Engineering",http://www.vvb-eng.com,http://www.linkedin.com/company/vvb-engineering,370,construction,London,England,United Kingdom,,1991,Yes,8,"VVB Engineering is a UK-based contractor that specializes in the design, delivery, and maintenance of mechanical, electrical, fire, and telecommunication engineering services for infrastructure projects. Founded in 2018 and headquartered in London, the company employs around 300 staff and generates annual revenues of approximately $61.8 million. VVB Engineering combines the strengths of Tier 1 contractors with the agility of Tier 2 firms to provide tailored engineering solutions for sectors such as rail, highways, power, and tunnels.

The company offers a range of services, including mechanical engineering for HVAC and plumbing systems, electrical engineering for power generation and renewable energy, fire systems design and delivery, and telecommunications installation. VVB Engineering has been involved in notable projects such as the refurbishment of tunnels in Birmingham and the integration of video management systems at the Dartford Crossing. With a commitment to sustainable engineering and collaboration, VVB Engineering empowers the development of tomorrow's infrastructure."
Winckworth Sherwood,"Winckworth Sherwood LLP, Winckworth Sherwood",http://www.wslaw.co.uk,http://www.linkedin.com/company/winckworth-sherwood-llp,370,law practice,London,England,United Kingdom,,1777,Yes,3,"Winckworth Sherwood LLP is a full-service law firm based in London, with a history that dates back to 1777. The firm has developed a strong reputation for providing expert legal advice across various sectors, including real estate, education, and parliamentary agency work. Winckworth Sherwood combines the qualities of a boutique firm with those of a larger City firm, offering both comprehensive legal services and specialized practices.

The firm serves a diverse clientele, including some of the UK's largest businesses, housebuilders, investors, and not-for-profit organizations. Winckworth Sherwood is known for its client-focused approach, delivering clear and practical legal advice that emphasizes understanding and empathy. The firm has established long-term relationships with clients, reflecting its commitment to high-quality service and professional excellence."
Zwift UK,"Zwift UK Limited, Zwift UK",http://www.zwift.com,http://www.linkedin.com/company/zwift,370,information technology & services,London,England,United Kingdom,,2014,Yes,1,"Zwift is a technology-driven entertainment company founded in 2014 in California. It specializes in creating an immersive virtual cycling and running platform that combines video game technology with fitness training. Users can ride or run indoors while interacting in virtual worlds, making workouts more engaging and social.

The core product is a software platform that connects to smart or conventional trainers, measuring power output and cadence to simulate real-world cycling conditions. Users can explore virtual environments, join group rides, participate in races, and follow structured workouts. Zwift also offers mobile and TV apps for controlling the experience and tracking progress across devices.

Targeting competitive cyclists and fitness enthusiasts, Zwift has grown significantly, with over 550,000 accounts reported as of early 2018. The company has attracted substantial investment to enhance its platform and expand into esports and broader fitness markets. Zwift merges fitness, gaming, and social interaction, creating a community-driven experience in indoor training."
Appsbroker Ltd,,http://www.qodea.com,http://www.linkedin.com/company/qodea,360,information technology & services,Swindon,England,United Kingdom,,,Yes,22,"Qodea is Europe's largest Google Cloud-only digital consultancy and transformation partner. The company specializes in providing cloud-based solutions and strategic consulting to help organizations maximize the benefits of Google Cloud technologies. Formed from the merger of Appsbroker and CTS, Qodea brings over two decades of experience in digital transformation, cloud security, data analytics, AI, and automation."
Atomos Investments Limited,,http://www.atomos.co.uk,http://www.linkedin.com/company/atomoswealth,360,financial services,London,England,United Kingdom,,,Yes,2,"atomos wealth is a UK-based wealth management and financial planning company with headquarters in London and Bristol. Established in 1999, it specializes in financial intermediation and auxiliary financial services. The company offers tailored financial planning and investment management services aimed at helping individuals, families, and organizations achieve their financial goals, such as early retirement and supporting future generations."
Bloom and Wild Limited,,http://www.bloomandwild.com,http://www.linkedin.com/company/bloom-&-wild,360,retail,London,England,United Kingdom,,,Yes,10,"Bloom & Wild is a prominent online flower and gift delivery company based in the UK, founded in 2013 by Aron Gelbard and Ben Stanway. The company is known for its innovative ""letterbox flowers,"" which are fresh flowers packaged in slim boxes that fit through most letterboxes, allowing for convenient delivery. By sourcing flowers directly from producers in Kenya and Europe, Bloom & Wild ensures high-quality blooms that arrive in bud form, designed to last longer."
BLS INTERNATIONAL SERVICES (UK) Ltd,,http://www.blsinternational.com,http://www.linkedin.com/company/blsintservices,360,outsourcing/offshoring,London,England,United Kingdom,,,Yes,1,"BLS International Services Ltd. is a leading service partner specializing in visa, passport, consular, and citizen services for governments and individuals. Founded in 2005 and based in New Delhi, India, the company operates in over 70 countries with more than 50,000 offices and a workforce of around 60,000 people. BLS International serves over 46 client governments and has processed more than 360 million applications."
Careline Lifestyles (UK) Ltd,,http://www.carelinelifestyles.co.uk,http://www.linkedin.com/company/careline-lifestyles,360,hospital & health care,Newcastle upon Tyne,England,United Kingdom,,,Yes,25,"Careline Lifestyles is a specialist care provider established in 1986 by Dr. Sharma, originally known as Durham Careline. The company focuses on delivering high-quality, person-centred care and support services for individuals with neurological, learning, and physical disabilities, as well as those with mental health needs and acquired brain injuries. It operates nine bespoke residential care homes across the North East of England, emphasizing the management of challenging behavior through BILD-accredited positive behaviour support plans."
Cosworth Limited,,http://www.cosworth.com,http://www.linkedin.com/company/cosworth,360,automotive,Northampton,Massachusetts,United States,,,Yes,6,"Cosworth is a British automotive engineering company founded in 1958, known for its expertise in high-performance internal combustion engines and advanced propulsion technologies. Originally established as a racing engine maker, Cosworth gained recognition for its innovative DFV 3.0-liter V8 engine, which became the most successful Formula 1 engine in history. The company has expanded its offerings to include powertrain systems, electronics, and alternative propulsion technologies for various industries, including motorsport, automotive, aerospace, marine, and defense."
Earnix UK Ltd,,http://www.earnix.com,http://www.linkedin.com/company/earnix,360,information technology & services,London,England,United Kingdom,,,Yes,5,"Earnix is a global software provider that specializes in AI-driven pricing, rating, underwriting, and personalization solutions for the insurance and banking industries. The company offers a real-time, cloud-based SaaS platform that integrates advanced analytics, machine learning, and generative AI. This platform helps financial services organizations optimize decision-making, enhance profitability, and accelerate their time to market."
Elitetele.com PLC,,http://www.elitegroup.com,http://www.linkedin.com/company/elitegroupuk,360,telecommunications,Chorley,England,United Kingdom,,,Yes,1,"Elite Group is a prominent provider of communications and technology solutions that help businesses operate more efficiently. The company offers a wide range of services, including consultancy, managed deployments, and end-to-end managed services. Its core offerings encompass unified communications, IT and cloud services, connectivity, and professional services, all designed to enhance collaboration and streamline operations."
Fashion GPS Europe,"Fashion GPS Europe Ltd, Fashion GPS Europe",http://www.launchmetrics.com,http://www.linkedin.com/company/launchmetrics,360,information technology & services,London,England,United Kingdom,,2002,Yes,3,"Launchmetrics is a data and technology company that specializes in software solutions for the Fashion, Lifestyle, and Beauty (FLB) industries. Founded in 2002 and headquartered in New York City, it has developed into a leading Brand Performance Cloud platform, serving over 1,700 brands in more than 100 countries. The company employs over 450 people across 12 global markets.

The company’s mission is to empower FLB brands to make informed decisions by integrating strategy with execution through digital transformation and data insights. Launchmetrics offers a comprehensive suite of tools, including sample management, event organization, press distribution, media monitoring, and brand performance benchmarking. These tools help brands streamline marketing processes, enhance operational efficiency, and improve overall business growth. With a focus on data-driven decision-making, Launchmetrics supports executives and professionals in the fashion, luxury, and beauty sectors in creating impactful brand experiences."
Foyle Food Group,Foyle Food Group,http://www.foylefoodgroup.com,http://www.linkedin.com/company/foyle-food-group,360,food & beverages,Omagh,Northern Ireland,United Kingdom,,1977,Yes,2,"Foyle Food Group is a family-owned company with over 45 years of experience in the beef supply chain and processing. It is the largest dedicated beef processor in the UK and Ireland, operating five advanced facilities that can slaughter approximately 350,000 cattle annually and process around 180,000 cattle each year. The company emphasizes sustainable and regenerative practices, supporting local producers and participating in initiatives like the Aberdeen Angus Superior Genetics programme.

The group specializes in high-quality beef primals and related products, ensuring rigorous quality control and traceability from farm to fork. Their processing capabilities include slaughtering, deboning, further processing, dry aging, and retail packing. Foyle Food Group serves a diverse customer base, including retail, foodservice, and export markets, and is recognized as a leading beef exporter. With a workforce of over 1,350 people, the company values passion, quality, respect, and success, making its employees central to its achievements."
Hanwha Vision Europe Limited,,http://www.hanwhavision.eu,http://www.linkedin.com/company/hanwha-vision-europe,360,security & investigations,Chertsey,England,United Kingdom,,1977,Yes,3,"Hanwha Vision Europe is a subsidiary of Hanwha Vision, a leader in video surveillance technology and part of the Fortune Global 500 Hanwha Group based in South Korea. With over 30 years of expertise, the company specializes in advanced video surveillance solutions, including high-definition cameras, CCTV systems, and software that supports video analytics and management.

The company offers comprehensive end-to-end solutions that cover the entire project lifecycle, from data input and storage to processing and visualization. Hanwha Vision Europe emphasizes innovation, quality control, and cybersecurity, ensuring the integrity and privacy of surveillance operations. They provide extensive pre- and post-sales support, including system design, technical assistance, and training, along with a five-year warranty on their products. Their solutions cater to a wide range of customers, including public safety organizations and commercial enterprises, adapting to various security needs with scalable technology."
HealthHero Group Limited,,http://www.healthhero.com,http://www.linkedin.com/company/healthhero,360,hospital & health care,London,England,United Kingdom,,2004,Yes,45,"HealthHero is a leading digital healthcare provider in Europe, focused on simplifying healthcare and enhancing lives through advanced technology and clinical expertise. Founded in 2019 and based in London, the company has quickly become the largest telemedicine platform in Europe, serving over 22 million users in countries like the UK, Ireland, Germany, and France.

The company offers a wide range of virtual healthcare services available 24/7, including access to general practitioners, mental health support, digital prescriptions, and tools for managing chronic conditions. HealthHero emphasizes a whole-health approach, integrating technology with clinical services to provide preventive health tools and ongoing support. It serves various clients, including businesses, governments, and individual patients, aiming to improve healthcare accessibility and efficiency. HealthHero is also recognized as a member of the World Economic Forum’s Innovator Community, highlighting its commitment to enhancing global healthcare."
ICG Medical Limited,,http://www.icg-medical.com,http://www.linkedin.com/company/icg-medical,360,staffing & recruiting,London,England,United Kingdom,,2015,Yes,2,"ICG Medical is a global healthcare recruitment company based in London, UK, founded in 2011. With over 250 employees and an annual turnover exceeding £54 million, the company specializes in recruiting healthcare professionals, particularly nurses, midwives, and home care workers. ICG Medical serves clients worldwide from its offices in various countries, including the UK, Ireland, India, South Africa, China, the Philippines, Japan, Australia, Canada, and the USA.

The company is dedicated to improving patient care by providing tailored staffing solutions for temporary, contract, and permanent recruitment needs. ICG Medical emphasizes building trusting relationships with candidates and clients, guided by its core values of openness, family orientation, and passion. Its services include global recruitment and placement, international relocation support for candidates, and specialized recruitment through multiple recognized brands targeting different healthcare sectors."
ITM Power Plc,,http://www.itm-power.com,http://www.linkedin.com/company/itm-power,360,renewables & environment,Sheffield,England,United Kingdom,,2000,Yes,18,"ITM Power is a UK-based company founded in June 2000, specializing in the design and manufacture of proton exchange membrane (PEM) electrolysers for green hydrogen production. With over 25 years of research and development experience, ITM Power has become a pioneer in green hydrogen technology. The company’s advanced PEM electrolyser technology enables the production of green hydrogen by splitting water into hydrogen and oxygen using renewable electricity, contributing to decarbonization efforts across various industries.

The company operates a high-volume manufacturing facility in Sheffield, England, with a current production capacity of 1 GW per annum and plans to expand to 5 GW by 2024. ITM Power offers modular PEM electrolysers that range from small-scale units to large industrial systems, including the world’s largest 24 MW PEM electrolyser. The company collaborates with major industrial partners like Linde plc and Sumitomo Corporation to develop and deploy electrolyser-based hydrogen energy systems, emphasizing its commitment to sustainability and global market expansion."
Larking Gowen LLP,,http://www.larking-gowen.co.uk,http://www.linkedin.com/company/larking-gowen,360,accounting,Norwich,England,United Kingdom,,1888,Yes,5,"Larking Gowen is a prominent independent partnership of chartered accountants and business advisors, recognized as one of the UK's top 40 accountancy firms. With multiple offices in Norfolk, Suffolk, and Essex, including locations in Norwich, Ipswich, and Colchester, the firm provides a range of services tailored to various sectors.

The company offers comprehensive accounting and audit services, tax advisory, and business consultancy. They specialize in providing dedicated services to the medical sector, assisting healthcare professionals like General Practitioners and Practice Managers with their accounting and administrative needs. Larking Gowen emphasizes local expertise combined with global knowledge, ensuring clients receive tailored advice and practical solutions. Their focus on building close client relationships enhances accessibility and support for businesses and individuals in the region."
Maidstone Borough Council,,http://www.maidstone.gov.uk,http://www.linkedin.com/company/maidstone-borough-council,360,government administration,Maidstone,England,United Kingdom,,,Yes,2,"Maidstone Borough Council is the local government authority for Maidstone Borough in Kent, England. It serves residents, businesses, and visitors by providing a variety of local services and governance. The Council is led by 49 elected councillors and employs around 571 officers who work together to enhance community well-being.

The Council's strategic vision aims to make Maidstone a thriving place to live, work, and visit, focusing on job creation, housing needs, and infrastructure development. It offers services such as housing support, environmental services, community safety initiatives, and planning management. Additionally, the Council engages in climate transition efforts and manages local amenities like Cobtree Manor Estate and museums.

Maidstone Borough Council collaborates with local educational institutions and community groups to deliver its services effectively. Its commitment to governance, economic development, and environmental sustainability aims to improve the quality of life for all in the Maidstone area."
National Corporate Housing UK Ltd,,http://www.nationalcorporatehousing.com,http://www.linkedin.com/company/national-corporate-housing,360,hospitality,London,England,United Kingdom,,1999,Yes,2,"National Corporate Housing, founded in 1999 and based in Greenwood Village, Colorado, specializes in temporary furnished housing solutions. The company operates across the United States, Canada, Asia Pacific, Europe, and the Gulf region, focusing on high-quality customer service and customized housing options for both individual and corporate clients.

Their offerings include short-term furnished apartments for executives and individuals relocating, as well as destination services that assist clients in acclimating to new locations. National Corporate Housing also provides comprehensive rental assistance through licensed real estate agents, corporate travel management services, and talent solutions for businesses. Additionally, they have a dedicated team for insurance housing needs, ensuring rapid support for policyholders during claims or emergencies.

With a strong presence of over 276 employees and 28 offices, National Corporate Housing is recognized as a leader in the hospitality and corporate lodging industry, known for its commitment to quality service and employee satisfaction."
Opera North,"Opera North Ltd, Opera North",http://www.operanorth.co.uk,http://www.linkedin.com/company/opera-north,360,performing arts,Leeds,England,United Kingdom,,1978,Yes,1,"Opera North is England's national opera company based in Leeds, established in 1977. Originally known as English National Opera North, it became independent and adopted its current name in 1981. The company is recognized for its bold and innovative productions, performing over 220 shows annually at venues like Leeds Grand Theatre and Leeds Town Hall, as well as touring extensively throughout the UK and Europe.

The company stages a diverse repertoire that includes world premieres, rarely performed operas, and musical theatre works. Its orchestra, the Orchestra of Opera North, plays a unique role in both opera and concert performances. The Opera North Chorus is known for its innovative music-making. Additionally, Opera North engages with the community through educational programs and participative arts activities, promoting accessibility to opera for all ages. The company also curates a variety of artistic events, including gigs and film screenings, particularly at the Howard Assembly Room in Leeds."
Paysend Group,"Paysend Group Ltd, Paysend Group",http://www.paysend.com,http://www.linkedin.com/company/paysend,360,financial services,Edinburgh,Scotland,United Kingdom,,2017,Yes,4,"Paysend is a global fintech company founded in the UK in 2017, specializing in cross-border money transfers through its digital payments network. It has grown from a startup focused on card-to-card transfers to a significant player in global payments, serving over 11 million consumers and numerous enterprise clients in more than 170 countries.

The company offers a range of services, including Paysend Consumer, which allows individuals to send and receive money instantly in over 170 countries. Paysend Enterprise provides a B2B solution for secure global payouts via a single API integration. Additionally, Paysend features a multicurrency account for managing multiple currencies, virtual cards for business payments, and is developing instant settlement accounts to enhance operational efficiency. With partnerships with major card networks like Mastercard and Visa, Paysend aims to simplify and reduce the costs of international transactions while promoting financial inclusion for both banked and unbanked populations."
Personetics Technologies,"Personetics Technologies (UK) Ltd, Personetics Technologies",http://www.personetics.com,http://www.linkedin.com/company/personetics,360,financial services,London,England,United Kingdom,,2011,Yes,2,"Personetics is a fintech company based in New York, founded in 2011. It specializes in AI-driven cognitive banking solutions that help banks enhance and personalize customer engagement. By analyzing transaction data in real time, Personetics delivers actionable financial management insights to users.

The company's main offering is an AI-based engagement platform that provides banks with tools for expense tracking, budget management, cash flow forecasting, and financial wellness guidance. This technology allows banks to offer timely and relevant financial advice, fostering stronger customer loyalty and engagement. Personetics serves large global financial institutions, including both traditional banks and neobanks, and supports open banking initiatives, enabling secure data sharing for improved services. With over 150 million bank customers engaging monthly, Personetics generates hundreds of millions of personalized financial insights each year."
Pragmatic Semiconductor,"Pragmatic Semiconductor Ltd, Pragmatic Semiconductor, Pragmatic",http://www.pragmaticsemi.com,http://www.linkedin.com/company/pragmatic-semiconductor,360,semiconductors,Cambridge,England,United Kingdom,,2010,Yes,6,"Pragmatic Semiconductor is a UK-based company located in Cambridge, specializing in the design and manufacture of flexible integrated circuits (FlexICs). Founded in 2010, the company focuses on creating ultra-low-cost, flexible microchip technology that allows for the embedding of intelligence into everyday objects. Their vision is to connect the physical and digital worlds through innovative semiconductor solutions, with a commitment to sustainability.

The core product, FlexICs, are ultra-thin integrated circuits that can be bent and embedded in various objects, such as product packaging. These chips utilize radio interface technology for seamless communication, enabling applications in smart packaging, wearables, and other emerging technologies. Pragmatic Semiconductor operates its own manufacturing facility in County Durham, ensuring quality control and scalability. The company targets global customers across industries that prioritize sustainability and smart technology integration."
PURVIEW CONSULTANCY SERVICES,"PURVIEW CONSULTANCY SERVICES LTD, PURVIEW CONSULTANCY SERVICES",http://www.purviewservices.com,http://www.linkedin.com/company/purviewservices,360,information technology & services,Edinburgh,Scotland,United Kingdom,,2010,Yes,2,"Purview is a global IT company founded in 2010 by Mr. Punna Reddy. The company specializes in delivering innovative IT solutions and expert support, focusing on driving business growth and operational efficiency. With a multidisciplinary team of strategists, designers, technologists, and developers, Purview is dedicated to creating engaging digital experiences by integrating strategy, design, and technology.

Purview offers a wide range of services, including digital transformation, cybersecurity solutions, cloud services, and IoT and AI solutions. The company helps businesses adapt to the digital era, protect against cyber threats, optimize cloud strategies, and develop intelligent systems that enhance operational efficiency. Purview emphasizes quality, innovation, and client-centric solutions tailored to meet specific business needs, serving a diverse customer base across various industries."
Reed Online,"Reed Online Limited, Reed Online, Reed",http://www.reed.co.uk,http://www.linkedin.com/company/reed-co-uk,360,information technology & services,London,England,United Kingdom,,2000,Yes,118,"Reed.co.uk is a prominent online recruitment platform based in the UK, established in 1995 as the first recruitment website by a recruitment agency. It is part of Reed, a family-run business founded in 1960, which has grown into one of the largest recruitment companies globally, with a presence in various regions including Europe, the USA, and East Asia.

The platform connects job seekers with employers and recruitment agencies, featuring a vast database of job vacancies and career resources. Reed.co.uk advertises job listings from nearly 19,000 recruiters annually and facilitates over 80,000 job applications each day. Additionally, it offers over 155,000 courses through Reed Courses, collaborating with around 1,400 learning providers. The site also provides extensive career advice, including tips on CV writing and interview preparation, attracting hundreds of thousands of visitors monthly. Reed.co.uk serves a diverse range of employers and educational course providers, making it a key resource for job seekers and recruiters across the UK."
RG Carter Cambridge,"RG Carter Cambridge Ltd, RG Carter Cambridge",http://www.rgcarter-construction.co.uk,http://www.linkedin.com/company/rgcarter,360,construction,Comberton,England,United Kingdom,,1921,Yes,4,"R G Carter is a construction company founded in 1921 by Robert George Carter, with a rich history of over 100 years. Based in Norfolk, UK, the company started by building local housing and has since expanded to undertake significant projects, including the construction of homes as part of the post-World War I ""Homes for Heroes"" scheme. 

The company provides a wide range of construction services, including design, build, refurbishment, repairs, and project management. It serves both public and private clients across various sectors such as housing, retail, commercial, and research. R G Carter is recognized as one of the largest Passivhaus housebuilders in the UK, reflecting its commitment to sustainable construction practices. With multiple regional offices, including a strong presence in Lincoln, the company emphasizes local community engagement and aims to improve lives through its projects. R G Carter values honesty, trust, and long-term relationships, combining traditional family values with innovation and quality craftsmanship."
Ritz Hotel (London),"Ritz Hotel (London) Limited, Ritz Hotel (London)",http://www.theritzlondon.com,http://www.linkedin.com/company/the-ritz-london,360,hospitality,London,England,United Kingdom,,1906,Yes,3,"The Ritz London is a prestigious luxury hotel located in Piccadilly, London, known for its rich history and exceptional service since opening in 1906. Founded by Swiss hotelier César Ritz, it has become a premier destination for guests seeking the highest standards of luxury and comfort. The hotel features opulent Edwardian architecture and interiors, with lavish furnishings and modern amenities that preserve classic style.

The Ritz offers luxurious guest rooms and suites, many named after notable past guests. It is famous for its traditional Afternoon Tea served in the elegant Palm Court and features The Ritz Restaurant, known for fine dining. The hotel also provides exquisite venues for private events, weddings, and corporate functions, ensuring impeccable service and grandeur. With a Royal Warrant granted by HRH The Prince of Wales, The Ritz London continues to cater to discerning guests, including international travelers, celebrities, and dignitaries, maintaining its status as a symbol of elegance and exclusivity."
SIX DEGREES HOLDINGS,"SIX DEGREES HOLDINGS LIMITED, SIX DEGREES HOLDINGS",http://www.6dg.co.uk,http://www.linkedin.com/company/six-degrees-group,360,information technology & services,London,England,United Kingdom,,2011,Yes,11,"Six Degrees is a UK-based technology company founded in 1995 and headquartered in London. It specializes in secure cloud services, managed IT solutions, and cybersecurity. As a leading Managed Service Provider (MSP), Six Degrees is dedicated to helping organizations operate effectively and securely in the cloud. The company aims to be the UK’s top provider of integrated cloud services, emphasizing a client-first approach and strong partnerships, particularly with Microsoft.

The company offers a range of services, including cloud managed services that optimize infrastructure, cybersecurity solutions for threat detection and response, and connectivity solutions that integrate data and voice services. Additionally, Six Degrees supports digital transformation by providing tailored solutions that align with clients' business goals. With a commitment to customer satisfaction, the company has received recognition for its quality of service and maintains a financially stable position with a turnover exceeding £54 million."
Star Refrigeration,Star Refrigeration,http://www.star-ref.co.uk,http://www.linkedin.com/company/star-refrigeration,360,machinery,Glasgow,Scotland,United Kingdom,,1970,Yes,1,"Star Refrigeration is the UK’s largest independent industrial refrigeration engineering company, founded in 1970 and based in Glasgow. With nearly 450 staff across 11 locations in the UK and agents in Europe and Asia, the company has developed into a multi-faceted engineering group. It specializes in designing, manufacturing, installing, and maintaining industrial refrigeration and heating systems.

The company provides custom-engineered refrigeration solutions for large-scale applications, pioneering natural refrigeration technologies, and energy optimization services. Star Refrigeration serves various industries, including food and drink processing, pharmaceuticals, and data centers. Known for its high-quality installations and exceptional aftercare, the company emphasizes energy efficiency and cost-effectiveness in its solutions. Notably, it developed the world’s largest zero carbon 90°C Ammonia District Heat Pump, recognized for its innovation in combating climate change."
SystemiQ,"SystemiQ Limited, SystemiQ",http://www.systemiq.earth,http://www.linkedin.com/company/systemiq,360,environmental services,London,England,United Kingdom,,2016,Yes,16,"Systemiq Ltd. is a collaborative system design and development company based in London, UK, founded in 2016. The company is dedicated to accelerating the transition to a sustainable economy, aligning its efforts with the Sustainable Development Goals and the Paris Agreement. Systemiq focuses on transforming five key economic systems: energy, nature and food, materials, urban areas, and finance.

The company offers a range of services, including system design and development, specialist advisory services, coalition building, leadership transformation, policy development, market and value chain redesign, capital mobilization, and support for early-stage ventures. Systemiq is a certified B Corporation, demonstrating its commitment to high standards of social and environmental performance. With a diverse international presence, Systemiq serves a wide array of clients, including governments, businesses, and financial institutions, all aiming to implement systemic change for improved environmental and social outcomes."
